r,theoretical,observed_1,simulation_mean_1,simulation_low_1,simulation_high_1,observed_2,simulation_mean_2,simulation_low_2,simulation_high_2,observed_3,simulation_mean_3,simulation_low_3,simulation_high_3,observed_4,simulation_mean_4,simulation_low_4,simulation_high_4
5.25,86.5901475145687,89.6,86.56,44.8,115.2,92.8,96.544,48,121.6,44.8,87.072,41.6,112,211.2,218.464,160,259.2
5.3,88.2473376393373,89.6,87.424,44.8,115.2,92.8,97.6,48,121.6,48,87.872,41.6,115.2,217.6,222.304,166.4,262.4
5.35,89.9202357273739,89.6,88.416,44.8,115.2,96,98.368,51.2,121.6,54.4,89.632,44.8,115.2,220.8,223.84,166.4,268.8
5.4,91.6088417786784,92.8,91.264,44.8,121.6,99.2,99.552,51.2,121.6,57.6,90.56,44.8,115.2,220.8,224.896,166.4,272
5.45,93.3131557932508,92.8,92.064,44.8,124.8,99.2,101.536,51.2,128,64,92.608,51.2,115.2,220.8,228.768,169.6,278.4
5.5,95.0331777710912,92.8,93.024,48,128,102.4,103.328,51.2,134.4,64,92.608,51.2,115.2,224,231.488,169.6,278.4
5.55,96.7689077121996,92.8,94.08,48,128,102.4,104.16,51.2,134.4,73.6,95.328,54.4,118.4,224,231.488,169.6,278.4
5.6,98.5203456165759,96,97.088,48,131.2,102.4,104.16,51.2,134.4,76.8,96.224,54.4,118.4,230.4,234.112,176,278.4
5.65,100.28749148422,96,98.848,51.2,137.6,105.6,106.464,54.4,137.6,80,97.056,54.4,121.6,230.4,236.992,176,281.6
5.7,102.070345315132,96,100.48,54.4,137.6,105.6,107.488,57.6,137.6,80,97.056,54.4,121.6,233.6,239.584,185.6,288
5.75,103.868907109313,99.2,102.496,57.6,140.8,105.6,108.416,57.6,140.8,83.2,98.048,54.4,121.6,236.8,242.464,185.6,291.2
5.8,105.683176866761,99.2,104.608,60.8,144,108.8,110.24,57.6,140.8,86.4,98.624,54.4,121.6,236.8,244.352,185.6,294.4
5.85,107.513154587477,99.2,104.608,60.8,144,108.8,112.352,60.8,144,89.6,100.352,57.6,124.8,246.4,248.16,185.6,294.4
